objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll012,img20210208_15193163.jpg,,,Wedding Picture 12,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll013,img20210208_15193178.jpg,,,Wedding Picture 13,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll014,img20210208_15193192.jpg,,,Wedding Picture 14,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll015,img20210208_15193209.jpg,,,Wedding Picture 15,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll016,img20210208_15254174.jpg,,,Wedding Picture 16,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll017,img20210208_15254192.jpg,,,Wedding Picture 17,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll018,img20210208_15254221.jpg,,,Wedding Picture 18,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll019,img20210208_15301310.jpg,,,Wedding Picture 19,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll020,img20210208_15301322.jpg,,,Wedding Picture 20,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll021,img20210208_15301332.jpg,,,Wedding Picture 21,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll022,img20210208_15301338.jpg,,,Wedding Picture 22,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll023,img20210208_15342463.jpg,,,Wedding Picture 23,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll024,img20210208_15342473.jpg,,,Wedding Picture 24,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll025,img20210208_15460463.jpg,,,Wedding Picture 25,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
